Level,Date and Time,Source,Event ID,Task Category,Log,Computer
Error,10/5/2017 8:10:29 AM,WSH,1,None,Application,djkvdihost700.jakarta01.com,"CN=Nur Maya Rahma password will expire in 3 day(s) at 10/8/2017 7:22:00 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/5/2017 8:09:57 AM,EventCreate,1,None,Application,djkvdihost425.jakarta01.com,JAKARTA01\elvina  
Error,10/5/2017 8:09:46 AM,EventCreate,1,None,Application,djkvdihost443.jakarta01.com,JAKARTA01\lisa  
Error,10/5/2017 8:10:06 AM,Application Error,1000,(100),Application,djkvdihost277.jakarta01.com,"Faulting application name: spoolsv.exe, version: 6.1.7601.17777, time stamp: 0x4f35efc3
Faulting module name: msvcrt.dll, version: 7.0.7601.17744, time stamp: 0x4eeaf722
Exception code: 0xc0000005
Fault offset: 0x0000aa14
Faulting process id: 0x634
Faulting application start time: 0x01d33ce42f51ae03
Faulting application path: C:\Windows\System32\spoolsv.exe
Faulting module path: C:\Windows\system32\msvcrt.dll
Report Id: ec2925ce-a969-11e7-bdcb-0050569f0aee"
Error,10/5/2017 8:10:03 AM,EventCreate,1,None,Application,djkvdihost189.jakarta01.com,JAKARTA01\muhammady  
Error,10/5/2017 8:10:02 AM,EventCreate,1,None,Application,djkvdihost607.jakarta01.com,JAKARTA01\puty  
Error,10/5/2017 8:09:50 AM,EventCreate,1,None,Application,djkvdihost425.jakarta01.com,JAKARTA01\elvina  
Error,10/5/2017 8:09:49 AM,EventCreate,1,None,Application,djkvdihost170.jakarta01.com,JAKARTA01\nadea  
Error,10/5/2017 8:09:43 AM,EventCreate,1,None,Application,djkvdihost339.jakarta01.com,JAKARTA01\amanda  
Error,10/5/2017 8:09:40 AM,EventCreate,1,None,Application,djkvdihost443.jakarta01.com,JAKARTA01\lisa  
Error,10/5/2017 8:09:39 AM,EventCreate,1,None,Application,djkvdihost646.jakarta01.com,JAKARTA01\rininta  
Error,10/5/2017 8:09:39 AM,EventCreate,1,None,Application,djkvdihost753.jakarta01.com,JAKARTA01\jati  
Error,10/5/2017 8:09:30 AM,EventCreate,1,None,Application,djkvdihost156.jakarta01.com,JAKARTA01\nirliani  
Error,10/5/2017 8:09:29 AM,EventCreate,1,None,Application,djkvdihost145.jakarta01.com,JAKARTA01\Damal  
Error,10/5/2017 8:09:15 AM,EventCreate,1,None,Application,djkvdihost808.jakarta01.com,JAKARTA01\Anton 2  
Error,10/5/2017 8:09:12 AM,EventCreate,1,None,Application,djkvdihost443.jakarta01.com,JAKARTA01\lisa  
Error,10/5/2017 8:09:08 AM,EventCreate,1,None,Application,djkvdihost200.jakarta01.com,JAKARTA01\eriku  
Error,10/5/2017 8:09:03 AM,EventCreate,1,None,Application,djkvdihost151.jakarta01.com,JAKARTA01\GUESTISD32  
Error,10/5/2017 8:09:01 AM,EventCreate,1,None,Application,djkvdihost508.jakarta01.com,JAKARTA01\rahayu  
Error,10/5/2017 8:09:01 AM,EventCreate,1,None,Application,djkvdihost111.jakarta01.com,JAKARTA01\giandripn  
Error,10/5/2017 8:08:25 AM,WSH,1,None,Application,djkvdihost808.jakarta01.com,"CN=Anton Anton password will expire in 4 day(s) at 10/9/2017 8:15:09 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/5/2017 8:08:24 AM,EventCreate,1,None,Application,djkvdihost605.jakarta01.com,JAKARTA01\M Said  
Error,10/5/2017 8:08:51 AM,EventCreate,1,None,Application,djkvdihost747.jakarta01.com,JAKARTA01\widiana  
Error,10/5/2017 8:08:47 AM,EventCreate,1,None,Application,djkvdihost339.jakarta01.com,JAKARTA01\amanda  
Error,10/5/2017 8:08:40 AM,EventCreate,1,None,Application,djkvdihost698.jakarta01.com,JAKARTA01\Darmawati  
Error,10/5/2017 8:08:32 AM,EventCreate,1,None,Application,djkvdihost017.jakarta01.com,JAKARTA01\linda  
Error,10/5/2017 8:07:59 AM,EventCreate,1,None,Application,djkvdihost346.jakarta01.com,JAKARTA01\enrikko  
Error,10/5/2017 8:07:54 AM,EventCreate,1,None,Application,djkvdihost121.jakarta01.com,JAKARTA01\iqbal  
Error,10/5/2017 8:08:23 AM,WSH,1,None,Application,djkvdihost808.jakarta01.com,"CN=Anton Anton password will expire in 4 day(s) at 10/9/2017 8:15:09 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/5/2017 8:08:21 AM,EventCreate,1,None,Application,djkvdihost605.jakarta01.com,JAKARTA01\M Said  
Error,10/5/2017 8:07:52 AM,EventCreate,1,None,Application,djkvdihost135.jakarta01.com,JAKARTA01\samsul  
Error,10/5/2017 8:07:39 AM,Application Error,1000,(100),Application,djkvdihost135.jakarta01.com,"Faulting application name: spoolsv.exe, version: 6.1.7601.17777, time stamp: 0x4f35efc3
Faulting module name: msvcrt.dll, version: 7.0.7601.17744, time stamp: 0x4eeaf722
Exception code: 0xc0000005
Fault offset: 0x0000aa14
Faulting process id: 0x638
Faulting application start time: 0x01d33cff545d7d69
Faulting application path: C:\Windows\System32\spoolsv.exe
Faulting module path: C:\Windows\system32\msvcrt.dll
Report Id: 9435f506-a969-11e7-ad39-0050569f64d7"
Error,10/5/2017 8:08:07 AM,EventCreate,1,None,Application,djkvdihost744.jakarta01.com,JAKARTA01\georgedk  
Error,10/5/2017 8:07:48 AM,EventCreate,1,None,Application,djkvdihost282.jakarta01.com,JAKARTA01\sari  
Error,10/5/2017 8:07:47 AM,Application Error,1000,(100),Application,djkvdihost346.jakarta01.com,"Faulting application name: spoolsv.exe, version: 6.1.7601.17777, time stamp: 0x4f35efc3
Faulting module name: msvcrt.dll, version: 7.0.7601.17744, time stamp: 0x4eeaf722
Exception code: 0xc0000005
Fault offset: 0x0000aa14
Faulting process id: 0x630
Faulting application start time: 0x01d33cf89ea6bfbe
Faulting application path: C:\Windows\System32\spoolsv.exe
Faulting module path: C:\Windows\system32\msvcrt.dll
Report Id: 997480c1-a969-11e7-9db0-0050569f7fe8"
Error,10/5/2017 8:07:33 AM,EventCreate,1,None,Application,djkvdihost135.jakarta01.com,JAKARTA01\samsul  
Error,10/5/2017 8:07:03 AM,EventCreate,1,None,Application,djkvdihost297.jakarta01.com,JAKARTA01\Aisyah  
Error,10/5/2017 8:07:28 AM,EventCreate,1,None,Application,djkvdihost220.jakarta01.com,JAKARTA01\Darmi  
Error,10/5/2017 8:07:28 AM,EventCreate,1,None,Application,djkvdihost197.jakarta01.com,JAKARTA01\indra jayadi  
Error,10/5/2017 8:07:26 AM,EventCreate,1,None,Application,djkvdihost507.jakarta01.com,JAKARTA01\AULIASA  
Error,10/5/2017 8:07:20 AM,EventCreate,1,None,Application,djkvdihost072.jakarta01.com,JAKARTA01\fediana  
Error,10/5/2017 8:07:17 AM,EventCreate,1,None,Application,djkvdihost020.jakarta01.com,JAKARTA01\rizal  
Error,10/5/2017 8:06:45 AM,EventCreate,1,None,Application,djkvdihost196.jakarta01.com,JAKARTA01\Fardhady  
Error,10/5/2017 8:07:07 AM,EventCreate,1,None,Application,djkvdihost574.jakarta01.com,JAKARTA01\Anton  
Error,10/5/2017 8:07:05 AM,EventCreate,1,None,Application,djkvdihost816.jakarta01.com,JAKARTA01\ahmad  
Error,10/5/2017 8:06:31 AM,EventCreate,1,None,Application,djkvdihost632.jakarta01.com,JAKARTA01\Thalia  
Error,10/5/2017 8:06:48 AM,EventCreate,1,None,Application,djkvdihost136.jakarta01.com,JAKARTA01\Anton 2  
Error,10/5/2017 8:06:45 AM,EventCreate,1,None,Application,djkvdihost398.jakarta01.com,JAKARTA01\Jauw  
Error,10/5/2017 8:06:43 AM,EventCreate,1,None,Application,djkvdihost297.jakarta01.com,JAKARTA01\Aisyah  
Error,10/5/2017 8:06:40 AM,EventCreate,1,None,Application,djkvdihost047.jakarta01.com,JAKARTA01\Dwita  
Error,10/5/2017 8:06:40 AM,EventCreate,1,None,Application,djkvdihost426.jakarta01.com,JAKARTA01\GuestISD43  
Error,10/5/2017 8:06:17 AM,EventCreate,1,None,Application,djkvdihost663.jakarta01.com,JAKARTA01\victoria  
Error,10/5/2017 8:06:11 AM,EventCreate,1,None,Application,djkvdihost663.jakarta01.com,JAKARTA01\victoria  
Error,10/5/2017 8:06:08 AM,EventCreate,1,None,Application,djkvdihost663.jakarta01.com,JAKARTA01\victoria  
Error,10/5/2017 8:06:36 AM,EventCreate,1,None,Application,djkvdihost184.jakarta01.com,JAKARTA01\augtiaji  
Error,10/5/2017 8:06:31 AM,EventCreate,1,None,Application,djkvdihost006.jakarta01.com,JAKARTA01\Fitri Nawawi  
Error,10/5/2017 8:05:57 AM,WSH,1,None,Application,djkvdihost136.jakarta01.com,"CN=Anton Anton password will expire in 4 day(s) at 10/9/2017 8:15:09 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/5/2017 8:06:26 AM,EventCreate,1,None,Application,djkvdihost322.jakarta01.com,JAKARTA01\prakasa  
Error,10/5/2017 8:06:26 AM,EventCreate,1,None,Application,djkvdihost196.jakarta01.com,JAKARTA01\Fardhady  
Error,10/5/2017 8:06:22 AM,Application Error,1000,(100),Application,djkvdihost632.jakarta01.com,"Faulting application name: spoolsv.exe, version: 6.1.7601.17777, time stamp: 0x4f35efc3
Faulting module name: msvcrt.dll, version: 7.0.7601.17744, time stamp: 0x4eeaf722
Exception code: 0xc0000005
Fault offset: 0x0000aa14
Faulting process id: 0x63c
Faulting application start time: 0x01d33d01ae65f89d
Faulting application path: C:\Windows\System32\spoolsv.exe
Faulting module path: C:\Windows\system32\msvcrt.dll
Report Id: 665cf5b2-a969-11e7-aa64-0050569f16af"
Error,10/5/2017 8:06:19 AM,EventCreate,1,None,Application,djkvdihost832.jakarta01.com,JAKARTA01\novianti  
Error,10/5/2017 8:05:37 AM,EventCreate,1,None,Application,djkvdihost158.jakarta01.com,JAKARTA01\ni ketut  
Error,10/5/2017 8:06:03 AM,EventCreate,1,None,Application,djkvdihost768.jakarta01.com,JAKARTA01\evi  
Error,10/5/2017 8:05:57 AM,EventCreate,1,None,Application,djkvdihost663.jakarta01.com,JAKARTA01\victoria  
Error,10/5/2017 8:05:56 AM,WSH,1,None,Application,djkvdihost136.jakarta01.com,"CN=Anton Anton password will expire in 4 day(s) at 10/9/2017 8:15:09 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/5/2017 8:05:56 AM,EventCreate,1,None,Application,djkvdihost615.jakarta01.com,JAKARTA01\priscilla  
Error,10/5/2017 8:05:46 AM,EventCreate,1,None,Application,djkvdihost760.jakarta01.com,JAKARTA01\adityo  
Error,10/5/2017 8:05:40 AM,EventCreate,1,None,Application,djkvdihost173.jakarta01.com,JAKARTA01\wulan  
Error,10/5/2017 8:05:34 AM,EventCreate,1,None,Application,djkvdihost671.jakarta01.com,JAKARTA01\melani  
Error,10/5/2017 8:05:00 AM,EventCreate,1,None,Application,djkvdihost703.jakarta01.com,JAKARTA01\lieke  
Error,10/5/2017 8:05:13 AM,EventCreate,1,None,Application,djkvdihost807.jakarta01.com,JAKARTA01\adiyanti  
Error,10/5/2017 8:05:10 AM,EventCreate,1,None,Application,djkvdihost831.jakarta01.com,JAKARTA01\syifa  
Error,10/5/2017 8:05:08 AM,EventCreate,1,None,Application,djkvdihost007.jakarta01.com,JAKARTA01\Hasna  
Error,10/5/2017 8:05:05 AM,EventCreate,1,None,Application,djkvdihost158.jakarta01.com,JAKARTA01\ni ketut  
Error,10/5/2017 8:05:03 AM,EventCreate,1,None,Application,djkvdihost162.jakarta01.com,JAKARTA01\astio  
Error,10/5/2017 8:04:34 AM,WSH,1,None,Application,djkvdihost703.jakarta01.com,"CN=Lieke password will expire in 4 day(s) at 10/9/2017 7:14:13 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/5/2017 8:04:48 AM,EventCreate,1,None,Application,djkvdihost460.jakarta01.com,JAKARTA01\muammar  
Error,10/5/2017 8:04:42 AM,EventCreate,1,None,Application,djkvdihost658.jakarta01.com,JAKARTA01\anissa  
Error,10/5/2017 8:04:37 AM,EventCreate,1,None,Application,djkvdihost318.jakarta01.com,JAKARTA01\tri wahyu  
Error,10/5/2017 8:04:32 AM,WSH,1,None,Application,djkvdihost703.jakarta01.com,"CN=Lieke password will expire in 4 day(s) at 10/9/2017 7:14:13 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/5/2017 8:04:29 AM,EventCreate,1,None,Application,djkvdihost242.jakarta01.com,JAKARTA01\driarkoro  
Error,10/5/2017 8:04:20 AM,EventCreate,1,None,Application,djkvdihost050.jakarta01.com,JAKARTA01\Helena  
Error,10/5/2017 8:04:08 AM,EventCreate,1,None,Application,djkvdihost260.jakarta01.com,JAKARTA01\karen  
Error,10/5/2017 8:04:02 AM,EventCreate,1,None,Application,djkvdihost557.jakarta01.com,JAKARTA01\Chairul  
Error,10/5/2017 8:03:58 AM,Application Error,1000,(100),Application,djkvdihost260.jakarta01.com,"Faulting application name: spoolsv.exe, version: 6.1.7601.17777, time stamp: 0x4f35efc3
Faulting module name: msvcrt.dll, version: 7.0.7601.17744, time stamp: 0x4eeaf722
Exception code: 0xc0000005
Fault offset: 0x0000aa14
Faulting process id: 0x630
Faulting application start time: 0x01d33ce40b958c24
Faulting application path: C:\Windows\System32\spoolsv.exe
Faulting module path: C:\Windows\system32\msvcrt.dll
Report Id: 109b54a5-a969-11e7-9091-0050569f3343"
Error,10/5/2017 8:03:48 AM,EventCreate,1,None,Application,djkvdihost418.jakarta01.com,JAKARTA01\subhan  
Error,10/5/2017 8:03:42 AM,EventCreate,1,None,Application,djkvdihost427.jakarta01.com,JAKARTA01\Siti Atikah  
Error,10/5/2017 8:03:39 AM,EventCreate,1,None,Application,djkvdihost830.jakarta01.com,JAKARTA01\evrizon  
Error,10/5/2017 8:03:39 AM,EventCreate,1,None,Application,djkvdihost536.jakarta01.com,JAKARTA01\Arlyne  
Error,10/5/2017 8:03:35 AM,EventCreate,1,None,Application,djkvdihost530.jakarta01.com,JAKARTA01\Ahmad Hidayat  
Error,10/5/2017 8:03:35 AM,EventCreate,1,None,Application,djkvdihost281.jakarta01.com,JAKARTA01\eriksetiawan  
Error,10/5/2017 8:03:31 AM,EventCreate,1,None,Application,djkvdihost271.jakarta01.com,JAKARTA01\Ade k  
Error,10/5/2017 8:03:20 AM,EventCreate,1,None,Application,djkvdihost639.jakarta01.com,JAKARTA01\mega  
Error,10/5/2017 8:03:08 AM,EventCreate,1,None,Application,djkvdihost498.jakarta01.com,JAKARTA01\ailsa  
Error,10/5/2017 8:03:07 AM,EventCreate,1,None,Application,djkvdihost817.jakarta01.com,JAKARTA01\Tyas  
Error,10/5/2017 8:03:03 AM,EventCreate,1,None,Application,djkvdihost392.jakarta01.com,JAKARTA01\dyah alit  
Error,10/5/2017 8:03:02 AM,EventCreate,1,None,Application,djkvdihost349.jakarta01.com,JAKARTA01\alifah  
Error,10/5/2017 8:02:58 AM,EventCreate,1,None,Application,djkvdihost467.jakarta01.com,JAKARTA01\achmadr  
Error,10/5/2017 8:02:57 AM,EventCreate,1,None,Application,djkvdihost585.jakarta01.com,JAKARTA01\Yonanda  
Error,10/5/2017 8:02:55 AM,EventCreate,1,None,Application,djkvdihost717.jakarta01.com,JAKARTA01\vanya  
Error,10/5/2017 8:02:52 AM,EventCreate,1,None,Application,djkvdihost177.jakarta01.com,JAKARTA01\gian  
Error,10/5/2017 8:02:48 AM,EventCreate,1,None,Application,djkvdihost495.jakarta01.com,JAKARTA01\phia  
Error,10/5/2017 8:02:48 AM,EventCreate,1,None,Application,djkvdihost255.jakarta01.com,JAKARTA01\lucky  
Error,10/5/2017 8:02:46 AM,EventCreate,1,None,Application,djkvdihost619.jakarta01.com,JAKARTA01\idams  
Error,10/5/2017 8:02:43 AM,EventCreate,1,None,Application,djkvdihost060.jakarta01.com,JAKARTA01\Yunita2  
Error,10/5/2017 8:02:43 AM,EventCreate,1,None,Application,djkvdihost155.jakarta01.com,JAKARTA01\eriks  
Error,10/5/2017 8:02:42 AM,EventCreate,1,None,Application,djkvdihost820.jakarta01.com,JAKARTA01\ng ryan  
Error,10/5/2017 8:02:37 AM,EventCreate,1,None,Application,djkvdihost681.jakarta01.com,JAKARTA01\daniel chin  
Error,10/5/2017 8:02:32 AM,EventCreate,1,None,Application,djkvdihost228.jakarta01.com,JAKARTA01\indrak  
Error,10/5/2017 8:02:27 AM,EventCreate,1,None,Application,djkvdihost284.jakarta01.com,JAKARTA01\bellaisya  
Error,10/5/2017 8:02:20 AM,EventCreate,1,None,Application,djkvdihost310.jakarta01.com,JAKARTA01\dadi  
Error,10/5/2017 8:02:05 AM,EventCreate,1,None,Application,djkvdihost741.jakarta01.com,JAKARTA01\bella  
Error,10/5/2017 8:02:01 AM,EventCreate,1,None,Application,djkvdihost031.jakarta01.com,JAKARTA01\lileliza  
Error,10/5/2017 8:01:55 AM,EventCreate,1,None,Application,djkvdihost782.jakarta01.com,JAKARTA01\nora  
Error,10/5/2017 8:01:40 AM,EventCreate,1,None,Application,djkvdihost643.jakarta01.com,JAKARTA01\samekto  
Error,10/5/2017 8:01:36 AM,EventCreate,1,None,Application,djkvdihost087.jakarta01.com,JAKARTA01\Listya  
Error,10/5/2017 8:01:28 AM,EventCreate,1,None,Application,djkvdihost725.jakarta01.com,JAKARTA01\m iqbal  
Error,10/5/2017 8:01:25 AM,EventCreate,1,None,Application,djkvdihost022.jakarta01.com,JAKARTA01\Risqia  
Error,10/5/2017 8:01:24 AM,EventCreate,1,None,Application,djkvdihost633.jakarta01.com,JAKARTA01\Bambang  
Error,10/5/2017 8:01:11 AM,EventCreate,1,None,Application,djkvdihost099.jakarta01.com,JAKARTA01\yoga  
Error,10/5/2017 8:01:11 AM,EventCreate,1,None,Application,djkvdihost501.jakarta01.com,JAKARTA01\Lordy  
Error,10/5/2017 8:01:09 AM,EventCreate,1,None,Application,djkvdihost493.jakarta01.com,JAKARTA01\meva  
Error,10/5/2017 8:00:36 AM,EventCreate,1,None,Application,djkvdihost192.jakarta01.com,JAKARTA01\Eny Masruroh  
Error,10/5/2017 8:00:31 AM,Application Error,1000,(100),Application,djkvdihost192.jakarta01.com,"Faulting application name: spoolsv.exe, version: 6.1.7601.17777, time stamp: 0x4f35efc3
Faulting module name: msvcrt.dll, version: 7.0.7601.17744, time stamp: 0x4eeaf722
Exception code: 0xc0000005
Fault offset: 0x0000aa14
Faulting process id: 0x634
Faulting application start time: 0x01d33d082394b1f4
Faulting application path: C:\Windows\System32\spoolsv.exe
Faulting module path: C:\Windows\system32\msvcrt.dll
Report Id: 955d519a-a968-11e7-b6a2-0050569f1891"
Error,10/5/2017 8:01:01 AM,EventCreate,1,None,Application,djkvdihost034.jakarta01.com,JAKARTA01\Latiefah  
Error,10/5/2017 8:00:58 AM,EventCreate,1,None,Application,djkvdihost350.jakarta01.com,JAKARTA01\nadya  
Error,10/5/2017 8:00:53 AM,EventCreate,1,None,Application,djkvdihost714.jakarta01.com,JAKARTA01\hafiah  
Error,10/5/2017 8:00:48 AM,EventCreate,1,None,Application,djkvdihost361.jakarta01.com,JAKARTA01\Rizky Anggari  
Error,10/5/2017 8:00:40 AM,EventCreate,1,None,Application,djkvdihost902.jakarta01.com,JAKARTA01\matthew  
Error,10/5/2017 8:00:29 AM,EventCreate,1,None,Application,djkvdihost506.jakarta01.com,JAKARTA01\reza  
Error,10/5/2017 8:00:26 AM,EventCreate,1,None,Application,djkvdihost365.jakarta01.com,JAKARTA01\supris  
Error,10/5/2017 8:00:24 AM,EventCreate,1,None,Application,djkvdihost583.jakarta01.com,JAKARTA01\zulkarnaena  
Error,10/5/2017 8:00:23 AM,EventCreate,1,None,Application,djkvdihost556.jakarta01.com,JAKARTA01\Widi Anggraeni  
Error,10/5/2017 8:00:20 AM,EventCreate,1,None,Application,djkvdihost470.jakarta01.com,JAKARTA01\Hadi  
Error,10/5/2017 8:00:17 AM,EventCreate,1,None,Application,djkvdihost048.jakarta01.com,JAKARTA01\clarissa  
Error,10/5/2017 8:00:09 AM,EventCreate,1,None,Application,djkvdihost675.jakarta01.com,JAKARTA01\sandrase  
Error,10/5/2017 7:59:39 AM,EventCreate,1,None,Application,djkvdihost351.jakarta01.com,JAKARTA01\Guestisd37  
Error,10/5/2017 7:59:28 AM,EventCreate,1,None,Application,djkvdihost410.jakarta01.com,JAKARTA01\BERNARDUS  
Error,10/5/2017 7:59:21 AM,EventCreate,1,None,Application,djkvdihost481.jakarta01.com,JAKARTA01\hanna  
Error,10/5/2017 7:59:16 AM,EventCreate,1,None,Application,djkvdihost131.jakarta01.com,JAKARTA01\jeffry  
Error,10/5/2017 7:59:09 AM,EventCreate,1,None,Application,djkvdihost472.jakarta01.com,JAKARTA01\puri  
Error,10/5/2017 7:59:06 AM,EventCreate,1,None,Application,djkvdihost656.jakarta01.com,JAKARTA01\chandra  
Error,10/5/2017 7:59:06 AM,EventCreate,1,None,Application,djkvdihost479.jakarta01.com,JAKARTA01\sysdovs01  
Error,10/5/2017 7:59:04 AM,EventCreate,1,None,Application,djkvdihost248.jakarta01.com,JAKARTA01\dananwst  
Error,10/5/2017 7:58:58 AM,EventCreate,1,None,Application,djkvdihost720.jakarta01.com,JAKARTA01\fajar  
Error,10/5/2017 7:58:58 AM,EventCreate,1,None,Application,djkvdihost376.jakarta01.com,JAKARTA01\Mustikawati  
Error,10/5/2017 7:58:56 AM,EventCreate,1,None,Application,djkvdihost126.jakarta01.com,JAKARTA01\angga  
Error,10/5/2017 7:58:55 AM,EventCreate,1,None,Application,djkvdihost116.jakarta01.com,JAKARTA01\fahrul  
Error,10/5/2017 7:58:52 AM,EventCreate,1,None,Application,djkvdihost274.jakarta01.com,JAKARTA01\dimas  
Error,10/5/2017 7:58:45 AM,EventCreate,1,None,Application,djkvdihost411.jakarta01.com,JAKARTA01\andrewrs  
Error,10/5/2017 7:58:43 AM,EventCreate,1,None,Application,djkvdihost442.jakarta01.com,JAKARTA01\yulia rifanda  
Error,10/5/2017 7:58:42 AM,EventCreate,1,None,Application,djkvdihost094.jakarta01.com,JAKARTA01\belly  
Error,10/5/2017 7:58:41 AM,EventCreate,1,None,Application,djkvdihost785.jakarta01.com,JAKARTA01\shinta  
Error,10/5/2017 7:58:36 AM,EventCreate,1,None,Application,djkvdihost699.jakarta01.com,JAKARTA01\Taufik Kurniawan  
Error,10/5/2017 7:58:32 AM,EventCreate,1,None,Application,djkvdihost117.jakarta01.com,JAKARTA01\MSandy  
Error,10/5/2017 7:58:28 AM,EventCreate,1,None,Application,djkvdihost204.jakarta01.com,JAKARTA01\dadi hardi  
Error,10/5/2017 7:58:26 AM,EventCreate,1,None,Application,djkvdihost729.jakarta01.com,JAKARTA01\henry st  
Error,10/5/2017 7:58:25 AM,EventCreate,1,None,Application,djkvdihost778.jakarta01.com,JAKARTA01\lani  
Error,10/5/2017 7:58:23 AM,EventCreate,1,None,Application,djkvdihost384.jakarta01.com,JAKARTA01\dady  
Error,10/5/2017 7:58:18 AM,EventCreate,1,None,Application,djkvdihost668.jakarta01.com,JAKARTA01\anjani  
Error,10/5/2017 7:58:16 AM,EventCreate,1,None,Application,djkvdihost167.jakarta01.com,JAKARTA01\fauziah wildan  
Error,10/5/2017 7:58:15 AM,EventCreate,1,None,Application,djkvdihost291.jakarta01.com,JAKARTA01\yuswardie  
Error,10/5/2017 7:58:15 AM,EventCreate,1,None,Application,djkvdihost119.jakarta01.com,JAKARTA01\Nazlaini  
Error,10/5/2017 7:58:11 AM,EventCreate,1,None,Application,djkvdihost307.jakarta01.com,JAKARTA01\ayu  
Error,10/5/2017 7:58:09 AM,EventCreate,1,None,Application,djkvdihost781.jakarta01.com,JAKARTA01\muhdi  
Error,10/5/2017 7:58:07 AM,EventCreate,1,None,Application,djkvdihost838.jakarta01.com,JAKARTA01\arief  
Error,10/5/2017 7:58:06 AM,EventCreate,1,None,Application,djkvdihost444.jakarta01.com,JAKARTA01\hadid  
Error,10/5/2017 7:58:04 AM,EventCreate,1,None,Application,djkvdihost375.jakarta01.com,JAKARTA01\chris bowo  
Error,10/5/2017 7:57:30 AM,WSH,1,None,Application,djkvdihost384.jakarta01.com,"CN=Dady Hidayat password will expire in 3 day(s) at 10/8/2017 7:59:22 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/5/2017 7:57:48 AM,EventCreate,1,None,Application,djkvdihost693.jakarta01.com,JAKARTA01\DedyW  
Error,10/5/2017 7:57:48 AM,EventCreate,1,None,Application,djkvdihost597.jakarta01.com,JAKARTA01\teddyks  
Error,10/5/2017 7:57:46 AM,EventCreate,1,None,Application,djkvdihost175.jakarta01.com,JAKARTA01\annisa inggita  
Error,10/5/2017 7:57:38 AM,EventCreate,1,None,Application,djkvdihost795.jakarta01.com,JAKARTA01\smuhidin  
Error,10/5/2017 7:57:37 AM,EventCreate,1,None,Application,djkvdihost253.jakarta01.com,JAKARTA01\maya  
Error,10/5/2017 7:57:37 AM,EventCreate,1,None,Application,djkvdihost827.jakarta01.com,JAKARTA01\EDameria  
Error,10/5/2017 7:57:35 AM,EventCreate,1,None,Application,djkvdihost660.jakarta01.com,JAKARTA01\Nurmalia  
Error,10/5/2017 7:57:33 AM,EventCreate,1,None,Application,djkvdihost423.jakarta01.com,JAKARTA01\widya utami  
Error,10/5/2017 7:57:32 AM,EventCreate,1,None,Application,djkvdihost499.jakarta01.com,JAKARTA01\eunice  
Error,10/5/2017 7:57:31 AM,EventCreate,1,None,Application,djkvdihost183.jakarta01.com,JAKARTA01\krisnawan  
Error,10/5/2017 7:57:29 AM,EventCreate,1,None,Application,djkvdihost180.jakarta01.com,JAKARTA01\dwi budi  
Error,10/5/2017 7:57:29 AM,EventCreate,1,None,Application,djkvdihost023.jakarta01.com,JAKARTA01\puspitasari  
Error,10/5/2017 7:57:29 AM,WSH,1,None,Application,djkvdihost384.jakarta01.com,"CN=Dady Hidayat password will expire in 3 day(s) at 10/8/2017 7:59:22 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/5/2017 7:57:24 AM,EventCreate,1,None,Application,djkvdihost276.jakarta01.com,JAKARTA01\wicaksono  
Error,10/5/2017 7:57:17 AM,EventCreate,1,None,Application,djkvdihost786.jakarta01.com,JAKARTA01\laila  
Error,10/5/2017 7:57:14 AM,EventCreate,1,None,Application,djkvdihost303.jakarta01.com,JAKARTA01\melany  
Error,10/5/2017 7:57:13 AM,EventCreate,1,None,Application,djkvdihost621.jakarta01.com,JAKARTA01\airin  
Error,10/5/2017 7:56:36 AM,WSH,1,None,Application,djkvdihost499.jakarta01.com,"CN=Eunice Shertaria Bangun password will expire in 3 day(s) at 10/8/2017 8:00:20 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/5/2017 7:57:05 AM,EventCreate,1,None,Application,djkvdihost172.jakarta01.com,JAKARTA01\Puspa  
Error,10/5/2017 7:57:04 AM,EventCreate,1,None,Application,djkvdihost752.jakarta01.com,JAKARTA01\bagas  
Error,10/5/2017 7:56:46 AM,EventCreate,1,None,Application,djkvdihost694.jakarta01.com,JAKARTA01\dimas adhi  
Error,10/5/2017 7:56:46 AM,EventCreate,1,None,Application,djkvdihost010.jakarta01.com,JAKARTA01\apip  
Error,10/5/2017 7:56:42 AM,EventCreate,1,None,Application,djkvdihost041.jakarta01.com,JAKARTA01\ceciliadt  
Error,10/5/2017 7:56:35 AM,WSH,1,None,Application,djkvdihost499.jakarta01.com,"CN=Eunice Shertaria Bangun password will expire in 3 day(s) at 10/8/2017 8:00:20 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/5/2017 7:56:32 AM,EventCreate,1,None,Application,djkvdihost464.jakarta01.com,JAKARTA01\rubyani  
